ZONA PORTUARIA               ,SOCIEDAD PORTUARIA,TIPO DE SERVICIO,TIPO DE CARGA,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,FLUVIAL,CABOTAJE,MOVILIZACIONES A BORDO,TRANSITORIA,AÑO VIGENCIA,MES VIGENCIA
Z.P. RIO MAGDALENA,SOCIEDAD PORTUARIA COAL CORP SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,0,0,0,2986,0,0,0,2024,9
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,6260,0,0,0,0,0,0,2023,6
CARTAGENA,TERMINAL DE CONTENEDORES DE CARTAGENA S. A.,PUBLICO,GENERAL,0,7,208,0,0,1,0,0,2021,1
BARRANQUILLA,PALERMO SOCIEDAD PORTUARIA S.A,PUBLICO,GENERAL,11,66056,0,0,0,13444,0,0,2022,2
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,GENERAL,0,39,0,0,0,3661,0,0,2020,6
BUENAVENTURA,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,PUBLICO,GENERAL,0,31270,0,0,0,0,0,0,2020,7
SAN ANDRES,SAN ANDRES PORT SOCIETY SA,PUBLICO,CONTENEDORES,275,1169,0,0,0,8406,0,0,2024,2
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,5291,0,0,2019,1
G. MORROSQUILLO,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CARBON AL GRANEL,22000,0,0,0,0,0,0,0,2024,4
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,11430,0,0,0,0,0,0,2019,5
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,34464,263755,0,0,0,0,0,0,2018,1
CARTAGENA,SOCIEDAD PORTUARIA TRANSMARSYP S.A.,PUBLICO,CONTENEDORES,0,0,0,0,0,3435,0,0,2022,8
GUAJIRA,CERREJON ZONA NORTE S.A.,PRIVADO,GRANEL SOLIDO DIFER. DE CARBON,0,6517,0,0,0,0,0,0,2018,1
CARTAGENA,COMPA�IA DE PUERTOS ASOCIADOS S.A.,PUBLICO,CONTENEDORES,19301,23445,6099,31109,0,0,0,0,2019,8
BARRANQUILLA,BARRANQUILLA INTERNATIONAL TERMINAL COMPANY S.A.,PUBLICO,CARBON AL GRANEL,35963,0,0,0,0,0,0,0,2023,1
BARRANQUILLA,SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.,PUBLICO,GRANEL LIQUIDO,0,3124,0,0,0,0,0,0,2020,3
BARRANQUILLA,SOCIEDAD PORTUARIA RIVERPORT S.A.,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,38067,0,0,0,0,0,0,2018,12
BUENAVENTURA,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,PUBLICO,GRANEL SOLIDO DIFER. DE CARBON,0,322917,0,0,0,0,0,0,2024,5
